DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,DUP,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME
1,1/6/2025 12:00:00 AM,AA,19805,AA,1022,N925NN,11433,31295,DTW,11057,31057,CLT,1535,1652,77.00,77.00,1.00,5,1500-1559,17.00,22.00,1735,1849,74.00,74.00,1.00,4,1700-1759,0.00,,0.00,N,120.00,117.00,78.00,1.00,500.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1023,N129AA,11298,30194,DFW,12892,32575,LAX,1735,1925,110.00,110.00,1.00,7,1700-1759,19.00,8.00,1859,2052,113.00,113.00,1.00,7,1800-1859,0.00,,0.00,N,204.00,207.00,180.00,1.00,1235.00,5,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1025,N998AN,15376,30436,TUS,11298,30194,DFW,0800,0754,-6.00,0.00,0.00,-1,0800-0859,14.00,27.00,1112,1115,3.00,3.00,0.00,0,1100-1159,0.00,,0.00,N,132.00,141.00,100.00,1.00,813.00,4,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1029,N156AN,10397,30397,ATL,14107,30466,PHX,0525,0519,-6.00,0.00,0.00,-1,0001-0559,15.00,4.00,0744,0737,-7.00,0.00,0.00,-1,0700-0759,0.00,,0.00,N,259.00,258.00,239.00,1.00,1587.00,7,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1032,N815AA,14100,34100,PHL,12892,32575,LAX,1840,1838,-2.00,0.00,0.00,-1,1800-1859,49.00,15.00,2142,2201,19.00,19.00,1.00,1,2100-2159,0.00,,0.00,N,362.00,383.00,319.00,1.00,2402.00,10,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1033,N835NN,11433,31295,DTW,11057,31057,CLT,1929,1926,-3.00,0.00,0.00,-1,1900-1959,50.00,12.00,2122,2145,23.00,23.00,1.00,1,2100-2159,0.00,,0.00,N,113.00,139.00,77.00,1.00,500.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1036,N912UY,11057,31057,CLT,14492,34492,RDU,1438,1512,34.00,34.00,1.00,2,1400-1459,18.00,4.00,1530,1607,37.00,37.00,1.00,2,1500-1559,0.00,,0.00,N,52.00,55.00,33.00,1.00,130.00,1,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1036,N912UY,14492,34492,RDU,11057,31057,CLT,1620,1653,33.00,33.00,1.00,2,1600-1659,15.00,5.00,1730,1746,16.00,16.00,1.00,1,1700-1759,0.00,,0.00,N,70.00,53.00,33.00,1.00,130.00,1,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1037,N143AN,11298,30194,DFW,14771,32457,SFO,0921,0945,24.00,24.00,1.00,1,0900-0959,13.00,9.00,1116,1131,15.00,15.00,1.00,1,1100-1159,0.00,,0.00,N,235.00,226.00,204.00,1.00,1464.00,6,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1038,N849NN,11057,31057,CLT,11618,31703,EWR,1616,1618,2.00,2.00,0.00,0,1600-1659,14.00,14.00,1805,1848,43.00,43.00,1.00,2,1800-1859,0.00,,0.00,N,109.00,150.00,122.00,1.00,529.00,3,
